#,Company,Location_HQ,Region,State,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in__mil,Year,latitude,longitude
1,Tamara Mellon,Los Angeles,,California,USA,North America,20.0,2020-03-12,"40,0",50 ,30 ,Retail,Series C,90.0,2020,34.0536909,-118.242766
2,HopSkipDrive,Los Angeles,,California,USA,North America,8.0,2020-03-13,"10,0",80 ,72 ,Transportation,Unknown,45.0,2020,34.0536909,-118.242766
3,Panda Squad,San Francisco,San Francisco Bay Area,California,USA,North America,6.0,2020-03-13,"75,0",8 ,2 ,Consumer,Seed,1.0,2020,37.7792588,-122.4193286
4,Help.com,Austin,,,USA,North America,16.0,2020-03-16,"100,0",16 ,0 ,Support,Seed,6.0,2020,30.2711286,-97.7436995
5,Inspirato,Denver,,,USA,North America,130.0,2020-03-16,"22,0",591 ,461 ,Travel,Series C,79.0,2020,39.7392364,-104.984862
6,Flytedesk,Boulder,,,USA,North America,4.0,2020-03-18,"20,0",20 ,16 ,Marketing,Seed,4.0,2020,40.0149856,-105.270545
7,Remote Year,Chicago,,,USA,North America,50.0,2020-03-19,"50,0",100 ,50 ,Travel,Series B,17.0,2020,41.8755616,-87.6244212
8,CTO.ai,Vancouver,,,Canada,North America,30.0,2020-03-20,"50,0",60 ,30 ,Infrastructure,Seed,7.0,2020,49.2608724,-123.113952
9,Flywheel Sports,New York City,,,USA,North America,784.0,2020-03-20,"98,0",800 ,16 ,Fitness,Acquired,120.0,2020,40.7127281,-74.0060152
10,Compass,New York City,,,USA,North America,375.0,2020-03-23,"15,0",2500 ,2125 ,Real Estate,Series G,1600.0,2020,40.7127281,-74.0060152
11,Convene,New York City,,,USA,North America,150.0,2020-03-23,"18,0",833 ,683 ,Real Estate,Series D,280.0,2020,40.7127281,-74.0060152
12,GrayMeta,Los Angeles,,California,USA,North America,20.0,2020-03-23,"40,0",50 ,30 ,Data,Unknown,7.0,2020,34.0536909,-118.242766
13,Ladder Life,Palo Alto,San Francisco Bay Area,California,USA,North America,13.0,2020-03-23,"25,0",52 ,39 ,Finance,Series C,94.0,2020,37.4443293,-122.1598465
14,Leafly,Seattle,,,USA,North America,91.0,2020-03-23,"50,0",182 ,91 ,Retail,Acquired,2.0,2020,47.6038321,-122.330062
15,The Guild,Austin,,,USA,North America,38.0,2020-03-23,"22,0",173 ,135 ,Travel,Series B,36.0,2020,30.2711286,-97.7436995
16,Triplebyte,San Francisco,San Francisco Bay Area,California,USA,North America,15.0,2020-03-23,"17,0",88 ,73 ,HR,Series B,48.0,2020,37.7792588,-122.4193286
17,Foodsby,Minneapolis,,,USA,North America,87.0,2020-03-24,"67,0",130 ,43 ,Food,Series B,20.0,2020,44.9772995,-93.2654692
18,Sonder,San Francisco,San Francisco Bay Area,California,USA,North America,400.0,2020-03-24,"33,0",1212 ,812 ,Travel,Series D,359.0,2020,37.7792588,-122.4193286
19,Zeus Living,San Francisco,San Francisco Bay Area,California,USA,North America,80.0,2020-03-24,"30,0",267 ,187 ,Real Estate,Series B,79.0,2020,37.7792588,-122.4193286
20,Jama,Portland,,,USA,North America,12.0,2020-03-25,"5,0",240 ,228 ,Product,Unknown,233.0,2020,45.5202471,-122.674194
21,OutboundEngine,Austin,,,USA,North America,52.0,2020-03-25,"28,0",186 ,134 ,Marketing,Series C,48.0,2020,30.2711286,-97.7436995
22,Overtime,New York City,,,USA,North America,30.0,2020-03-25,"23,0",130 ,100 ,Media,Series B,35.0,2020,40.7127281,-74.0060152
23,TripActions,Palo Alto,San Francisco Bay Area,California,USA,North America,300.0,2020-03-25,"25,0",1200 ,900 ,Travel,Series D,,2020,37.4443293,-122.1598465
24,WanderJaunt,San Francisco,San Francisco Bay Area,California,USA,North America,56.0,2020-03-25,"23,0",243 ,187 ,Travel,Series B,26.0,2020,37.7792588,-122.4193286
25,Wonderschool,San Francisco,San Francisco Bay Area,California,USA,North America,50.0,2020-03-25,"75,0",67 ,17 ,Education,Series A,24.0,2020,37.7792588,-122.4193286
26,B8ta,San Francisco,San Francisco Bay Area,California,USA,North America,250.0,2020-03-26,"50,0",500 ,250 ,Retail,Series C,88.0,2020,37.7792588,-122.4193286
