Job titiles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain
Communications Manager,98%,365,2546,0.14336213668499606,Communication & PR
Data Collector,95%,299,2148,0.13919925512104284,Data & IT
Data Entry,95%,325,2278,0.14266900790166814,Administrative & Clerical
Mail Clerk,95%,193,1366,0.14128843338213762,Leadership & Strategy
Compliance Officer,92%,194,1369,0.14170927684441198,Medical & Healthcare
Chief Executive Officer (CEO),91%,153,1135,0.13480176211453745,Supply Chain & Logistics
Therapist,90%,114,983,0.11597151576805696,Law Enforcement
Chief Strategy Officer,90%,184,1284,0.14330218068535824,Construction
Admin,90%,253,2014,0.1256206554121152,Sales & Marketing
General Clerk,90%,242,1903,0.12716763005780346,Hospitality
Mail Handler,90%,188,1350,0.13925925925925925,Communication & PR
Data Clerk,90%,317,2258,0.1403897254207263,Data & IT
Data Entry Clerk,90%,328,2305,0.14229934924078091,Administrative & Clerical
Data Entry Operator,90%,329,2311,0.14236261358719168,Leadership & Strategy
Data Entry Specialist,90%,334,2358,0.14164546225614927,Medical & Healthcare
Medical Transcriptionist,90%,189,1265,0.14940711462450593,Supply Chain & Logistics
Street Sweeper,90%,3,82,0.036585365853658534,Law Enforcement
Supply Clerk,90%,115,901,0.12763596004439512,Construction
Warehouse Worker,90%,68,607,0.11202635914332784,Sales & Marketing
Web Search Evaluator,90%,243,1599,0.15196998123827393,Hospitality
Development Manager,89%,217,1558,0.1392811296534018,Communication & PR
Delivery Driver,88%,20,309,0.06472491909385113,Data & IT
Chief Security Officer,88%,142,1116,0.12724014336917563,Administrative & Clerical
File Clerk,88%,228,1797,0.12687813021702837,Leadership & Strategy
Mail Processing,88%,189,1336,0.14146706586826346,Medical & Healthcare
Director Of Operations,87%,198,1397,0.14173228346456693,Supply Chain & Logistics
Direct Support Professional,86%,117,1018,0.11493123772102161,Law Enforcement
Chief Communications Officer,85%,284,2118,0.13408876298394712,Construction
Administrative Clerk,85%,270,2070,0.13043478260869565,Sales & Marketing
Executive Assistant,85%,276,2112,0.13068181818181818,Hospitality
General Office Clerk,85%,245,1912,0.12813807531380753,Communication & PR
