Entity,Code,Year,Patent applications granted - Field: Banking and finance,Patent applications granted - Field: Industry and manufacturing,Patent applications granted - Field: Energy management,Patent applications granted - Field: Physical sciences and engineering,Patent applications granted - Field: Security,Patent applications granted - Field: Life sciences,Patent applications granted - Field: Transportation,Patent applications granted - Field: Business,Patent applications granted - Field: Telecommunications,Patent applications granted - Field: Personal devices and computing
Argentina,ARG,2013,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,2017,0,0,1,1,0,0,0,1,0,0
Argentina,ARG,2018,0,1,0,3,0,1,0,3,0,4
Argentina,ARG,2019,0,0,0,2,0,1,0,0,1,0
Argentina,ARG,2020,0,0,0,0,0,0,0,0,1,0
Australia,AUS,2013,1,2,2,7,1,32,2,8,7,19
Australia,AUS,2014,2,4,3,6,2,28,5,6,10,31
Australia,AUS,2015,9,8,3,12,6,32,13,20,16,53
Australia,AUS,2016,8,16,14,18,23,59,18,45,53,111
Australia,AUS,2017,15,17,8,14,15,84,25,33,45,107
Australia,AUS,2018,26,13,10,18,29,101,31,46,71,161
Australia,AUS,2019,31,18,8,23,28,103,19,53,73,135
Australia,AUS,2020,31,36,25,24,43,118,34,55,102,214
Austria,AUT,2013,0,0,0,0,0,1,2,0,1,2
Austria,AUT,2014,0,0,0,0,0,1,0,0,0,0
Austria,AUT,2015,0,0,2,0,0,0,0,0,1,0
Austria,AUT,2016,0,0,2,0,1,3,3,0,2,5
Austria,AUT,2017,0,0,4,2,0,3,5,1,0,1
Austria,AUT,2018,0,0,1,0,0,2,4,0,0,3
Austria,AUT,2019,0,0,2,0,0,0,3,0,0,0
Austria,AUT,2020,0,2,1,4,0,0,2,2,0,2
Belgium,BEL,2016,0,1,1,1,0,0,0,0,0,1
Belgium,BEL,2017,0,0,0,0,0,0,2,2,0,0
Belgium,BEL,2018,0,3,0,1,0,1,1,1,1,3
Belgium,BEL,2019,0,0,0,0,0,0,0,0,1,0
Belgium,BEL,2020,0,0,0,1,0,2,0,0,0,1
Brazil,BRA,2013,1,1,0,5,1,9,4,0,3,13
Brazil,BRA,2014,1,1,3,1,2,10,5,1,3,10
Brazil,BRA,2015,1,2,3,5,1,10,22,4,7,18
Brazil,BRA,2016,2,4,1,6,5,22,21,4,11,22
Brazil,BRA,2017,2,4,2,8,2,22,16,5,7,24
Brazil,BRA,2018,5,11,1,9,4,26,10,14,10,47
Brazil,BRA,2019,1,4,1,3,4,16,4,7,16,22
Brazil,BRA,2020,1,8,1,2,1,12,4,5,7,15
Brunei,BRN,2014,0,0,0,0,0,1,0,0,0,0
Bulgaria,BGR,2015,0,0,0,0,0,0,0,0,0,0
Bulgaria,BGR,2017,0,0,0,0,0,0,0,0,0,0
Bulgaria,BGR,2018,0,0,0,0,0,0,0,0,0,0
Bulgaria,BGR,2019,0,0,0,0,0,0,0,0,0,0
Bulgaria,BGR,2020,0,0,0,0,0,0,0,0,0,0
Canada,CAN,2013,1,3,4,12,1,40,6,11,10,27
Canada,CAN,2014,2,4,11,9,5,29,10,6,15,41
Canada,CAN,2015,15,8,11,22,7,48,31,30,25,68
Canada,CAN,2016,14,22,7,20,22,82,44,58,57,140
Canada,CAN,2017,22,29,12,31,26,113,49,37,78,156
Canada,CAN,2018,33,30,15,42,37,121,48,69,85,230
Canada,CAN,2019,24,25,7,28,19,115,19,54,82,162
Canada,CAN,2020,13,19,5,11,17,60,17,32,42,103
Chile,CHL,2015,0,0,0,0,0,0,0,0,1,1
Chile,CHL,2018,0,0,0,1,0,0,1,0,0,0
China,CHN,2013,4,31,49,17,16,86,20,27,56,146
China,CHN,2014,8,41,106,31,23,102,52,65,84,307
China,CHN,2015,17,71,131,44,53,160,105,85,218,623
China,CHN,2016,60,169,257,128,114,376,268,300,460,1961
China,CHN,2017,151,323,379,180,196,550,426,649,949,3748
China,CHN,2018,251,625,627,356,377,940,828,1272,1656,6247
